name,f1,f2,f3,f4,f1v,c1,c2,l1,l2,l3,n1,n2,n3,n4,t1,t2,t3,t4
ecoli,0.5344761370511228,0.0,0.41220238095238093,0.21614583333333334,0.11422769074401598,0.5741826192222774,0.7166266172717071,0.11368520765003773,0.06584821428571427,0.050967261904761904,0.027529761904761904,0.7907797874327052,0.05357142857142856,0.028645833333333332,0.13578869047619047,0.020833333333333332,0.011904761904761904,0.5714285714285714
chess,0.6603562312280876,0.0,0.8172715894868585,0.5669586983729662,0.12322432957576823,0.001424461344541883,0.003940366873872669,0.03076522626515436,0.026595744680851064,0.011264080100125157,0.07712765957446809,0.4920953162148783,0.15519399249061328,0.022371714643304133,0.7074468085106383,0.011264080100125156,0.007509386733416771,0.6666666666666666
titanic,0.6562108441558032,1.0,1.0,1.0,0.4481831350705752,0.09234859412034413,0.22264320681415362,0.22074757129144834,0.22398909586551569,0.2210358927760109,0.25874602453430257,0.5138542844383548,0.210358927760109,0.21035892776010903,0.9881871876419809,0.0013630168105406633,0.0009086778736937755,0.6666666666666666
wine,0.3074244617729858,0.03672297615419285,0.47565543071161054,0.0,0.052013434298483874,0.09077271604495733,0.21092899064967827,0.017499199366864206,0.0299625468164794,0.024344569288389514,0.0149812734082397,0.5004795807823916,0.018726591760299633,0.0056179775280898875,0.3857677902621723,0.07303370786516854,0.05056179775280898,0.6923076923076922
satimage,0.6914493076301368,0.10432272258780377,0.7548303548303549,0.6058793058793058,0.2101452668144094,0.37024789413779025,0.6122420099341033,0.18380580135776703,0.114996114996115,0.11603211603211604,0.031002331002331,0.7141282748008551,0.05962185962185962,0.06568246568246568,0.26612276612276614,0.005594405594405594,0.0034188034188034192,0.6111111111111112
yeast,0.7160543049122169,0.015435632756882483,0.6654312668463611,0.5098382749326145,0.24860506289588705,0.6244978825300274,0.7672155657875754,0.1328705461103261,0.09225067385444743,0.1807277628032345,0.050808625336927225,0.8376930535119074,0.09595687331536389,0.06340970350404312,0.24447439353099734,0.005390835579514824,0.003369272237196766,0.625
pima,0.8223586899013619,0.9031057426643383,0.9739583333333334,0.95703125,0.49885601663906176,0.06686568335921683,0.16724669384508295,0.2831252231865516,0.46223958333333337,0.330078125,0.16666666666666666,0.536983297208948,0.32552083333333337,0.2734375,0.7239583333333334,0.010416666666666666,0.005208333333333333,0.5
spectfheart,0.7670304688030622,6.541523664454718e-12,0.704119850187266,0.0,0.2820414024949544,0.2662475912010398,0.5138526965331776,0.23014826033865446,0.37453183520599254,0.20037453183520598,0.13295880149812733,0.6922440260945966,0.25468164794007486,0.10674157303370788,0.7565543071161048,0.1647940074906367,0.09363295880149813,0.5681818181818182
hayes-roth,0.8604788963631707,0.11197916666666666,0.7049689440993788,0.6133540372670807,0.4080224756674401,0.3240493487579018,0.42209310464429817,0.18281431576386015,0.21428571428571427,0.18633540372670807,0.12577639751552794,0.6538655622773325,0.13664596273291924,0.13975155279503107,0.38664596273291924,0.024844720496894408,0.024844720496894408,1.0
appendicitis,0.6047151634547098,0.3729852609812638,0.7075471698113207,0.27358490566037735,0.18931309586144035,0.2818615779845236,0.5343073310722671,0.2212483661850583,0.17452830188679247,0.13679245283018868,0.10849056603773585,0.6202493783756035,0.2075471698113207,0.1179245283018868,0.3584905660377358,0.0660377358490566,0.02830188679245283,0.42857142857142855
page-blocks,0.8406748823887439,0.6140865710310683,0.8022660818713451,0.6329678362573099,0.15745948154728698,0.7770207093217261,0.9124849541048494,0.052931416530947836,0.03728070175438597,0.19802631578947366,0.011549707602339181,0.9180276929028185,0.020687134502923987,0.02408625730994152,0.06717836257309942,0.001827485380116959,0.0012792397660818713,0.7
